"Hygienic care","Chăm sóc vệ sinh"
"Insect treatment","Chăm sóc chống côn trùng"
"Food & Drink","Thực phẩm và đồ uống"
"Fruit","Trái cây"
"Confectionary","Sản phẩm bánh kẹo"
"Beverage","Đồ uống"
"Seasoning","Gia vị"
"Dietary Supplement","Bổ sung dinh dưỡng"
"Welcome to %store_name","Chào mừng bạn đến với %store_name"
"%name,","%name,"
"Welcome to %store_name.","Chào mừng bạn đến với %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Để đăng nhập vào trang web của chúng tôi, sử dụng các thông tin này trong quá trình thanh toán hoặc trên trang <a href=""%customer_url"">Tài khoản của tôi</a>:"
"Email:","Email:"
"Password:","Mật khẩu:"
"Password you set when creating account","Mật khẩu bạn đặt khi tạo tài khoản"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Quên mật khẩu tài khoản? Nhấn vào <a href=""%reset_url"">đây</a> để đặt lại mật khẩu."
"When you sign in to your account, you will be able to:","Khi bạn đăng nhập vào tài khoản, bạn sẽ có khả năng:"
"Quick Checkout","Thanh toán nhanh chóng"
"Proceed through checkout faster","Tiến hành thanh toán nhanh hơn"
"Order Status","Trạng thái đơn hàng"
"Check the status of orders","Kiểm tra trạng thái của đơn hàng"
"Manage Addresses","Quản lý địa chỉ"
"Store alternative addresses","Lưu trữ địa chỉ thay thế"
"For shipping to multiple family members and friends","Đối với việc giao hàng đến nhiều thành viên gia đình và bạn bè"
"Order History","Lịch sử đơn hàng"
"View past orders","Xem các đơn hàng trước đó"
"Footer","Chân trang"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>Về chúng tôi</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Dịch vụ khách hàng</a>"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Giờ làm việc:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Bản ghi có lãi cho đơn hàng %store_name của bạn"
"Thank you for your order from %store_name.","Cảm ơn bạn đã đặt hàng từ %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Bạn có thể kiểm tra trạng thái của đơn hàng bằng cách <a href=""%account_url"">đăng nhập vào tài khoản của bạn</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Nếu bạn có câu hỏi về đơn hàng, bạn có thể gửi email cho chúng tôi tại <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Bản ghi có lãi của bạn #%creditmemo_id cho đơn hàng #%order_id"
"Billing Info","Thông tin thanh toán"
"Shipping Info","Thông tin giao hàng"
"Payment Method","Phương thức thanh toán"
"Shipping Method","Phương thức giao hàng"
"Update to your %store_name credit memo","Cập nhật vào bản ghi có lãi của %store_name của bạn"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Đơn hàng của bạn #%increment_id đã được cập nhật với trạng thái <strong>%order_status</strong>."
"Invoice for your %store_name order","Hóa đơn cho đơn hàng %store_name của bạn"
"Your Invoice #%invoice_id for Order #%order_id","Hóa đơn của bạn #%invoice_id cho Đơn hàng #%order_id"
"Update to your %store_name invoice","Cập nhật đến hóa đơn %store_name của bạn"
"Your %store_name order confirmation","Xác nhận đơn hàng %store_name của bạn"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Khi gói hàng của bạn được gửi, chúng tôi sẽ gửi cho bạn một số theo dõi."
"Your Order <span class=""no-link"">#%increment_id</span>","Đơn hàng của bạn <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Đặt hàng vào ngày <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Cập nhật đến đơn hàng %store_name của bạn"
"Your %store_name order has shipped","Đơn hàng %store_name của bạn đã được gửi đi"
"Your shipping confirmation is below. Thank you again for your business.","Thông báo giao hàng của bạn nằm phía dưới. Cảm ơn bạn về sự hợp tác."
"Your Shipment #%shipment_id for Order #%order_id","Lô hàng của bạn #%shipment_id cho Đơn hàng #%order_id"
"Update to your %store_name shipment","Cập nhật đến lô hàng %store_name của bạn"
"Overview","Tổng quan"
"Account Dashboard","Bảng điều khiển tài khoản"
"Address Book","Sổ địa chỉ"
"Account Information","Thông tin tài khoản"
"3 Columns Double Footer","Chân trang 3 cột"
